Model,Train RMSE,Test RMSE,Train R²,Test R²
Linear Regression,28123.49327483839,28648.81065160505,0.5286894041721402,0.17281636342378315
Random Forest,15109.930165449694,28109.635978939186,0.8639515528169757,0.20365880317010887
